"vtkOriginalCellIds","Cell Type"
3411,5
3412,5
3413,5
3414,5
3415,5
3678,5
3679,5
3680,5
3681,5
3682,5
3683,5
3684,5
3685,5
3686,5
3687,5
3688,5
3689,5
3690,5
3691,5
3692,5
3693,5
3694,5
3695,5
3696,5
3697,5
3698,5
3699,5
3700,5
3701,5
3765,5
3766,5
3767,5
3770,5
3771,5
3772,5
3785,5
3786,5
3787,5
3788,5
3789,5
3790,5
3791,5
3792,5
3850,5
3851,5
3859,5
3914,5
3915,5
3917,5
3918,5
3919,5
3920,5
3969,5
3971,5
3976,5
3977,5
3978,5
3979,5
3980,5
3981,5
3982,5
3983,5
4033,5
4034,5
4035,5
4042,5
4043,5
4044,5
4045,5
4046,5
4076,5
4077,5
4078,5
4079,5
4080,5
4081,5
4082,5
4083,5
4084,5
4085,5
4086,5
4087,5
4088,5
4089,5
4090,5
4091,5
4092,5
4093,5
4094,5
4095,5
4103,5
4104,5
4105,5
4106,5
4107,5
4108,5
4109,5
4116,5
4118,5
4119,5
4123,5
4124,5
4125,5
4126,5
4127,5
4128,5
4129,5
4130,5
4131,5
4132,5
4133,5
4134,5
4135,5
4136,5
4137,5
4138,5
4152,5
4184,5
4185,5
4186,5
4187,5
4189,5
4190,5
4191,5
4229,5
4230,5
4232,5
4233,5
4234,5
4235,5
4236,5
4240,5
4241,5
4242,5
4243,5
4280,5
4281,5
4282,5
4283,5
4284,5
4286,5
4287,5
4289,5
4290,5
4298,5
4299,5
4300,5
4301,5
4304,5
4349,5
4364,5
4365,5
4366,5
4367,5
4368,5
4369,5
4370,5
4391,5
4392,5
4395,5
4396,5
4397,5
4398,5
4399,5
4400,5
4401,5
4408,5
4409,5
4410,5
4444,5
4445,5
4454,5
4455,5
4456,5
4458,5
4459,5
4460,5
4461,5
4494,5
4495,5
4496,5
4497,5
4498,5
4499,5
4500,5
4527,5
4528,5
4529,5
4530,5
4533,5
4534,5
4535,5
4536,5
4537,5
4584,5
4585,5
4587,5
4588,5
4589,5
4590,5
4596,5
4670,5
4671,5
4672,5
4673,5
4676,5
4709,5
4710,5
4711,5
4712,5
4713,5
4714,5
4715,5
4718,5
4746,5
4747,5
4748,5
4749,5
4750,5
4751,5
4752,5
4753,5
4754,5
4755,5
4756,5
4757,5
4758,5
4759,5
4760,5
4761,5
4762,5
4763,5
4764,5
4765,5
4766,5
4767,5
4768,5
4769,5
4770,5
4771,5
4772,5
4773,5
4774,5
4775,5
4779,5
4811,5
4812,5
4813,5
4819,5
4820,5
4821,5
4822,5
4823,5
4824,5
4825,5
4826,5
4827,5
4828,5
4829,5
4830,5
4831,5
4839,5
4840,5
4841,5
4842,5
4843,5
4844,5
4845,5
4846,5
4847,5
4848,5
4849,5
4850,5
4851,5
4852,5
4853,5
4854,5
4855,5
4856,5
4857,5
4858,5
4859,5
4860,5
4861,5
4862,5
4863,5
4864,5
4905,5
4906,5
4907,5
4908,5
4909,5
4910,5
4911,5
4912,5
4917,5
4918,5
4919,5
4920,5
4921,5
4922,5
4923,5
4924,5
4925,5
4926,5
4927,5
4928,5
4929,5
4930,5
4931,5
4932,5
4933,5
4934,5
4942,5
4943,5
4944,5
4945,5
4946,5
4947,5
4975,5
4976,5
4977,5
4978,5
4979,5
4980,5
4981,5
4982,5
4983,5
4984,5
4985,5
4987,5
4988,5
4989,5
5024,5
5025,5
5026,5
5027,5
5028,5
5029,5
5030,5
5031,5
5032,5
5033,5
5034,5
5045,5
5046,5
5047,5
5048,5
5079,5
5080,5
5081,5
5082,5
5094,5
5095,5
5096,5
5153,5
5154,5
5155,5
5156,5
5157,5
5185,5
5186,5
5187,5
5188,5
5189,5
5211,5
5212,5
5213,5
5214,5
5215,5
5216,5
5217,5
5218,5
5219,5
5220,5
5221,5
5222,5
5223,5
5224,5
5225,5
5226,5
5227,5
5228,5
5229,5
5230,5
5231,5
5232,5
5233,5
5236,5
5237,5
5238,5
5239,5
5240,5
5241,5
5242,5
5243,5
5245,5
5246,5
5247,5
5248,5
5249,5
5250,5
5251,5
5253,5
5254,5
5280,5
5282,5
5284,5
5286,5
5287,5
5288,5
5289,5
5349,5
5350,5
5351,5
5352,5
5354,5
5355,5
5416,5
5417,5
5418,5
5419,5
5420,5
5421,5
5423,5
5424,5
5425,5
5426,5
5430,5
5431,5
5432,5
5433,5
5434,5
5435,5
5436,5
5464,5
5465,5
5466,5
5468,5
5469,5
5470,5
5471,5
5473,5
5474,5
5479,5
5480,5
5500,5
5501,5
5503,5
5504,5
5505,5
5506,5
5507,5
5510,5
5511,5
5544,5
5545,5
5546,5
5547,5
5548,5
5549,5
5550,5
5551,5
5552,5
5553,5
5574,5
5575,5
5576,5
5578,5
5661,5
5662,5
5663,5
5664,5
5665,5
5666,5
5667,5
5668,5
5669,5
5670,5
5671,5
5672,5
5673,5
5674,5
5677,5
5702,5
5703,5
5704,5
5706,5
5707,5
5708,5
5709,5
5710,5
5711,5
5713,5
5714,5
5716,5
5717,5
5718,5
5768,5
5769,5
5770,5
5771,5
5818,5
5820,5
5821,5
5822,5
5823,5
5824,5
5825,5
5826,5
5827,5
5828,5
5829,5
5830,5
5831,5
5832,5
5833,5
5834,5
5835,5
5836,5
5837,5
5838,5
5839,5
5854,5
5855,5
5856,5
5857,5
5858,5
5859,5
5860,5
5866,5
5907,5
5908,5
5909,5
5910,5
5911,5
5912,5
5913,5
5914,5
5915,5
5916,5
5927,5
5928,5
5929,5
5930,5
5931,5
5932,5
5933,5
5934,5
5935,5
5943,5
5980,5
5981,5
5982,5
5983,5
5984,5
5985,5
5986,5
5987,5
5988,5
5989,5
5996,5
5997,5
6031,5
6034,5
6035,5
6036,5
6069,5
6070,5
6071,5
6072,5
6073,5
6074,5
6075,5
6159,5
6160,5
6161,5
6162,5
6163,5
6164,5
6165,5
6168,5
6169,5
6170,5
6173,5
6174,5
6175,5
6176,5
6177,5
6178,5
6210,5
6212,5
6213,5
6214,5
6215,5
6216,5
6221,5
6222,5
6223,5
6258,5
6259,5
6260,5
6262,5
6263,5
6265,5
6266,5
6267,5
6275,5
6277,5
6391,5
6455,5
6456,5
6463,5
6499,5
6500,5
6501,5
6502,5
6503,5
6504,5
6505,5
6506,5
6507,5
6508,5
6509,5
6510,5
6511,5
6512,5
6513,5
6514,5
6515,5
6516,5
6517,5
6518,5
6522,5
6523,5
6559,5
6560,5
6561,5
6562,5
6563,5
6564,5
6565,5
6566,5
6567,5
6569,5
6570,5
6577,5
6578,5
6583,5
6584,5
6585,5
6649,5
6650,5
6651,5
6666,5
6667,5
6668,5
6669,5
6670,5
6671,5
6672,5
6673,5
6674,5
6675,5
6676,5
6677,5
6714,5
6715,5
6716,5
6717,5
6731,5
6732,5
6733,5
6735,5
6736,5
6737,5
6738,5
6739,5
6740,5
6741,5
6742,5
6748,5
6749,5
6750,5
6751,5
6752,5
6753,5
6754,5
6755,5
6793,5
6804,5
6805,5
6806,5
6811,5
6813,5
6814,5
6846,5
6847,5
6849,5
6851,5
6852,5
6853,5
6854,5
6855,5
6856,5
6857,5
6858,5
6859,5
6860,5
6861,5
6862,5
6865,5
6866,5
6867,5
6868,5
6869,5
6870,5
6871,5
6872,5
6873,5
6874,5
6878,5
6879,5
6880,5
6881,5
6953,5
6954,5
6955,5
6956,5
6957,5
6958,5
6959,5
6969,5
6970,5
6971,5
6972,5
6973,5
6975,5
6981,5
7014,5
7016,5
7017,5
7018,5
7019,5
7020,5
7021,5
7023,5
7024,5
7025,5
7026,5
7027,5
7032,5
7033,5
7034,5
7035,5
7073,5
7074,5
7082,5
7083,5
7084,5
7085,5
7086,5
7088,5
7155,5
7156,5
7157,5
7203,5
7204,5
7214,5
7215,5
7216,5
7217,5
7218,5
7219,5
7220,5
7221,5
7222,5
7224,5
7289,5
7290,5
7291,5
7292,5
7293,5
7294,5
7295,5
7296,5
7297,5
7300,5
7301,5
7302,5
7303,5
7304,5
7393,5
7394,5
7395,5
7409,5
7410,5
7411,5
7412,5
7413,5
7414,5
7415,5
7416,5
7417,5
7475,5
7476,5
7477,5
7478,5
7498,5
7499,5
7503,5
7506,5
7507,5
7508,5
7515,5
7516,5
7573,5
7576,5
7577,5
7580,5
7581,5
7599,5
7600,5
7601,5
7602,5
7609,5
7610,5
7615,5
7616,5
7617,5
7618,5
7619,5
7620,5
7621,5
7671,5
7686,5
7696,5
7699,5
7700,5
7701,5
7705,5
7791,5
7809,5
7821,5
7822,5
7926,5
7927,5
7939,5
7940,5
